"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"68166ddf2a94dc617cc2d390","84b13c4e-230c-4147-b8b5-f25b0ed1e2a8","PHYSICAL","substances-oils","smoke-mirrors","Smoke & Mirrors (Price Reduced!)","<p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Get it while it lasts! This favorite is on sale and will go away soon!</p><pre><code>Mood: Woody. Velvety. Leathery.</code></pre><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Top Notes: </strong>Sandalwood, Leather</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Middle Notes: </strong>Papyrus, Virginia Cedar, Cardamom</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Base Notes: </strong>Violet, Iris, Amber</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sandalwood and leather kick things off with some serious swagger, while cardamom and cedar keep it grounded and warm. Then—surprise—a soft touch of violet and iris sneaks in, all wrapped up in cozy amber. It’s got that just-right mix of bold and mellow, perfect for when you want to make an impression without trying too hard.</p>","DC-S&M-500","Size","500ml","","","","","","","","","","","124.99","74.99","Yes","1","/fall-season, /flash-sale, /designer-inspired-collection, /wood-musk","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/cfc9b545-7fed-46a8-9fad-d457146dcc58/smoke+%26+mirrors+scent.png https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/b6da810f-b4eb-4fbd-8a76-e2abe8f12c77/smoke+%26+mirrors+bottle.jpeg https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/56626f35-8160-4161-92c0-2a29358d645a/smoke+%26+mirrors.+bottle.jpeg"
"","0fb775d9-a341-4125-83b9-6acf6624f2c5","","","","","","DC-S&M-150","Size","150ml","","","","","","","","","","","84.99","44.99","Yes","8","","","0.0","0.0","0.0","0.0","",""
"","f85a7764-e12c-4473-9372-c6b8e673b5b5","","","","","","DC-S&M-10","Size","10ml","","","","","","","","","","","24.99","10.99","Yes","83","","","0.0","0.0","0.0","0.0","",""
"681680236fdefa0faa77885c","603b534d-80a0-4d77-962f-8dc8e631cb74","PHYSICAL","substances-oils","calm-down","Calm Down","<pre><code>Inspired By: Mandarin Oriental Hotel</code></pre><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Top notes: </strong>Green Bamboo, Cucumber, Turkish Rose</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Middle notes: </strong>Bergamot,Jasmine, Water Lily, Melon</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Base notes: </strong>Sandalwood, Patchouli</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Mood:</strong> Fresh. Dewy. Refined.</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Green bamboo and cucumber hit first—crisp and refreshing, like diving into a pool on a hot day. Turkish rose follows with a soft, feminine touch that’s as inviting as it is elegant. Then, bergamot, jasmine, and water lily bring a floral breeze that’s both uplifting and irresistible. The finish? Melon adds a light, juicy sweetness, while sandalwood and patchouli ground everything with a warm, earthy vibe. It’s fresh, flirty, and totally unforgettable—perfect for turning any room into a calming escape.</p><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Size Matters</strong></h4><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul data-rte-list=""true""><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>","HC-CD-500","Size","500ml","","","","","","","","","","","124.99","94.99","Yes","Unlimited","/hotels-and-resorts-collection, /floral","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/2931efbb-9a4b-4ab2-97d5-2a1a4490c38f/calm+down+scent.png https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/51b87d7e-90c6-468b-9290-1951b231acfc/calm+down+bottle.jpeg"
"","a2884c7f-907e-480e-851d-721a4996fc98","","","","","","HC-CD-150","Size","150ml","","","","","","","","","","","84.99","64.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","533e0615-3b5e-425b-8b28-ed8c265191b8","","","","","","HC-CD-100","Size","100ml","","","","","","","","","","","74.99","54.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","39623aa0-30c2-47b1-be3a-c9d34f529e1e","","","","","","HC-CD-10","Size","10ml","","","","","","","","","","","24.99","14.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"6829067919aabf2f07a5cd83","6bef200e-90aa-4531-a841-ce6634aaa1cf","PHYSICAL","substances-oils","zest-the-city","Zest & The City","<pre><code>Inspired By: 24k Magic</code></pre><ul data-rte-list=""true""><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Top Notes: </strong>Bergamot, Lemon, Lemongrass</p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Mid Notes: </strong>Magnolia, Jasmine, Lily </p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Base Notes: </strong>Koa Wood, Musk</p></li></ul><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Bergamot, lemon, and lemongrass burst in like a fresh breeze—bright, zesty, and instantly uplifting. But just when you think it’s all light and airy, magnolia, jasmine, and lily enter the scene, adding a floral richness that’s as bold as it is beautiful. The finish? Koa wood and musk make their entrance, grounding everything with a soft, sensual warmth that sticks around just long enough to make an impression. It’s the scent you wear when you want to feel like sunshine with a side of mystery.</p><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Mood: </strong>Bright. Polished. Refined</p><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Size Matters</strong></h4><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul data-rte-list=""true""><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>","HC-Z&C-500","Size","500ml","","","","","","","","","","","124.99","74.99","Yes","Unlimited","/hotels-and-resorts-collection, /flash-sale, /floral","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/5ff930a8-8881-41d1-9d78-373180188e79/zest+%26+the+city.png https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/fbf00afb-a4c0-4a01-8dde-2f1d4e126a03/zest+%26+the+city+bottle.jpeg"
"","a7c2db04-653d-4984-a75d-d7773930d3fa","","","","","","HC-Z&C-150","Size","150ml","","","","","","","","","","","84.99","54.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","bdb4e865-fce7-4758-a47e-2ec6cdbc0517","","","","","","HC-Z&C-100","Size","100ml","","","","","","","","","","","74.99","44.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
