Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
smoke-mirrors-price-reduced,Smoke & Mirrors (Price Reduced!),"<p >Get it while it lasts! This favorite is on sale and will go away soon!</p><pre><code>Mood: Woody. Velvety. Leathery.</code></pre><ul ><li><p ><strong>Top Notes: </strong>Sandalwood, Leather</p></li><li><p ><strong>Middle Notes: </strong>Papyrus, Virginia Cedar, Cardamom</p></li><li><p ><strong>Base Notes: </strong>Violet, Iris, Amber</p></li></ul><p >Sandalwood and leather kick things off with some serious swagger, while cardamom and cedar keep it grounded and warm. Then—surprise—a soft touch of violet and iris sneaks in, all wrapped up in cozy amber. It’s got that just-right mix of bold and mellow, perfect for when you want to make an impression without trying too hard.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,DC-S&M-500,,shopify,1,deny,manual,124.99,74.99,TRUE,TRUE,,,,,FALSE,Smoke & Mirrors (Price Reduced!),,,unisex,adult,DC-S&M-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
smoke-mirrors-price-reduced,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/cfc9b545-7fed-46a8-9fad-d457146dcc58/smoke+%26+mirrors+scent.png,1,Smoke & Mirrors (Price Reduced!) - Image 1,,,,,,,,,,,,,,,,,,,,
smoke-mirrors-price-reduced,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/b6da810f-b4eb-4fbd-8a76-e2abe8f12c77/smoke+%26+mirrors+bottle.jpeg,2,Smoke & Mirrors (Price Reduced!) - Image 2,,,,,,,,,,,,,,,,,,,,
smoke-mirrors-price-reduced,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/56626f35-8160-4161-92c0-2a29358d645a/smoke+%26+mirrors.+bottle.jpeg,3,Smoke & Mirrors (Price Reduced!) - Image 3,,,,,,,,,,,,,,,,,,,,
calm-down,Calm Down,"<pre><code>Inspired By: Mandarin Oriental Hotel</code></pre><ul ><li><p ><strong>Top notes: </strong>Green Bamboo, Cucumber, Turkish Rose</p></li><li><p ><strong>Middle notes: </strong>Bergamot,Jasmine, Water Lily, Melon</p></li><li><p ><strong>Base notes: </strong>Sandalwood, Patchouli</p></li></ul><p ><strong>Mood:</strong> Fresh. Dewy. Refined.</p><p >Green bamboo and cucumber hit first—crisp and refreshing, like diving into a pool on a hot day. Turkish rose follows with a soft, feminine touch that’s as inviting as it is elegant. Then, bergamot, jasmine, and water lily bring a floral breeze that’s both uplifting and irresistible. The finish? Melon adds a light, juicy sweetness, while sandalwood and patchouli ground everything with a warm, earthy vibe. It’s fresh, flirty, and totally unforgettable—perfect for turning any room into a calming escape.</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-CD-500,,shopify,999,deny,manual,124.99,94.99,TRUE,TRUE,,,,,FALSE,Calm Down,,,unisex,adult,HC-CD-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
calm-down,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/2931efbb-9a4b-4ab2-97d5-2a1a4490c38f/calm+down+scent.png,1,Calm Down - Image 1,,,,,,,,,,,,,,,,,,,,
calm-down,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/51b87d7e-90c6-468b-9290-1951b231acfc/calm+down+bottle.jpeg,2,Calm Down - Image 2,,,,,,,,,,,,,,,,,,,,
zest-the-city,Zest & The City,"<pre><code>Inspired By: 24k Magic</code></pre><ul ><li><p ><strong>Top Notes: </strong>Bergamot, Lemon, Lemongrass</p></li><li><p ><strong>Mid Notes: </strong>Magnolia, Jasmine, Lily </p></li><li><p ><strong>Base Notes: </strong>Koa Wood, Musk</p></li></ul><p >Bergamot, lemon, and lemongrass burst in like a fresh breeze—bright, zesty, and instantly uplifting. But just when you think it’s all light and airy, magnolia, jasmine, and lily enter the scene, adding a floral richness that’s as bold as it is beautiful. The finish? Koa wood and musk make their entrance, grounding everything with a soft, sensual warmth that sticks around just long enough to make an impression. It’s the scent you wear when you want to feel like sunshine with a side of mystery.</p><p ><strong>Mood: </strong>Bright. Polished. Refined</p><h4 ><strong>Size Matters</strong></h4><p >Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul ><li><p ><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p ><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p ><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p >View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>",Whiffed Aromas,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Fragrance Oil,,TRUE,Size,500ml,,,,,HC-Z&C-500,,shopify,999,deny,manual,124.99,74.99,TRUE,TRUE,,,,,FALSE,Zest & The City,,,unisex,adult,HC-Z&C-500,new,TRUE,,ml,,,TRUE,,,TRUE,,,active
zest-the-city,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/5ff930a8-8881-41d1-9d78-373180188e79/zest+%26+the+city.png,1,Zest & The City - Image 1,,,,,,,,,,,,,,,,,,,,
zest-the-city,,,,,,,,,,,,,,,,,,,,,,,,,https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/fbf00afb-a4c0-4a01-8dde-2f1d4e126a03/zest+%26+the+city+bottle.jpeg,2,Zest & The City - Image 2,,,,,,,,,,,,,,,,,,,,
